measurement_file	stage	label	profile	cache_state	threads	exit_code	wall_seconds	cpu_seconds	peak_rss_kib	candidate_count	alignment_count	coverage_mean	gap_bases	largest_gap	remote_bytes	cache_bytes	cache_hits	metadata_requests	range_requests	stream_requests	server_requests	server_bytes	exact_candidate_recovery	exact_alignment_recovery	partial_candidate_recovery	partial_alignment_recovery	split_overlap_candidate_recovery	split_overlap_alignment_recovery	short_fragment_candidate_recovery	short_fragment_alignment_recovery
jam_index.json	catalog_index	jam-sketch	none	none	8	0	0.45674049999797717	1.460528	393604	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
jma_index.json	catalog_index	jma-archive	none	none	8	0	2.7615249949958525	2.744474	137824	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
local_balanced_t1_cold.json	trace_search	jam_trace	balanced	process-cold	1	0	1.2921864919990185	1.269969	488004	3	6	0.4400517318524784	91355	47102	0	6303523	846	864	858	0	0	0	1/1	1/1	1/1	1/1	0/0	0/0	1/1	1/1
local_balanced_t1_warm_r1.json	trace_search	jam_trace	balanced	warm	1	0	1.2466434660018422	1.226138	489352	3	6	0.4400517318524784	91355	47102	0	6303523	846	864	858	0	0	0	1/1	1/1	1/1	1/1	0/0	0/0	1/1	1/1
local_balanced_t8_cold.json	trace_search	jam_trace	balanced	process-cold	8	0	0.7756078610036639	1.3502459999999998	565460	3	6	0.4400517318524784	91355	47102	0	6303523	846	864	858	0	0	0	1/1	1/1	1/1	1/1	0/0	0/0	1/1	1/1
local_balanced_t8_warm_r1.json	trace_search	jam_trace	balanced	warm	8	0	0.817754738003714	1.4017249999999999	557932	3	6	0.4400517318524784	91355	47102	0	6303523	846	864	858	0	0	0	1/1	1/1	1/1	1/1	0/0	0/0	1/1	1/1
local_fast_t1_cold.json	trace_search	jam_trace	fast	process-cold	1	0	0.6362682389953989	0.621179	262344	3	6	0.43280682075893817	92537	49030	0	2554627	328	348	342	0	0	0	1/1	1/1	1/1	1/1	0/0	0/0	1/1	1/1
local_fast_t1_warm_r1.json	trace_search	jam_trace	fast	warm	1	0	0.8434917959966697	0.8250629999999999	244124	3	6	0.43280682075893817	92537	49030	0	2554627	328	348	342	0	0	0	1/1	1/1	1/1	1/1	0/0	0/0	1/1	1/1
local_fast_t8_cold.json	trace_search	jam_trace	fast	process-cold	8	0	0.38800068000273313	0.643917	321944	3	6	0.43280682075893817	92537	49030	0	2554627	328	348	342	0	0	0	1/1	1/1	1/1	1/1	0/0	0/0	1/1	1/1
local_fast_t8_warm_r1.json	trace_search	jam_trace	fast	warm	8	0	0.42557709000539035	0.7113769999999999	323288	3	6	0.43280682075893817	92537	49030	0	2554627	328	348	342	0	0	0	1/1	1/1	1/1	1/1	0/0	0/0	1/1	1/1
local_sensitive_t1_cold.json	trace_search	jam_trace	sensitive	process-cold	1	0	2.7756112100032624	2.740654	934296	3	6	0.4400517318524784	91355	47102	0	12150147	1638	1656	1650	0	0	0	1/1	1/1	1/1	1/1	0/0	0/0	1/1	1/1
local_sensitive_t1_warm_r1.json	trace_search	jam_trace	sensitive	warm	1	0	2.728824780002469	2.7047600000000003	937056	3	6	0.4400517318524784	91355	47102	0	12150147	1638	1656	1650	0	0	0	1/1	1/1	1/1	1/1	0/0	0/0	1/1	1/1
local_sensitive_t8_cold.json	trace_search	jam_trace	sensitive	process-cold	8	0	2.034330062000663	3.131663	986112	3	6	0.4400517318524784	91355	47102	0	12150147	1638	1656	1650	0	0	0	1/1	1/1	1/1	1/1	0/0	0/0	1/1	1/1
local_sensitive_t8_warm_r1.json	trace_search	jam_trace	sensitive	warm	8	0	1.6829814599987003	2.792975	1140468	3	6	0.4400517318524784	91355	47102	0	12150147	1638	1656	1650	0	0	0	1/1	1/1	1/1	1/1	0/0	0/0	1/1	1/1
