schema_version	archive_block_bases	cache_block_bytes	query_id	query_class	profile	threads	status	build_exit_code	trace_exit_code	archive_count	archive_size_bytes	archive_build_wall_seconds	archive_build_cpu_seconds	archive_build_peak_rss_kib	wall_seconds	user_seconds	system_seconds	peak_rss_kib	candidate_count	alignment_count	metadata_requests	head_requests	get_requests	range_requests	stream_requests	requested_bytes	returned_bytes	decoded_bytes	remote_bytes	cache_bytes	cache_hits	cache_misses	cache_evictions	stale_cache_rejections	retries	full_object_fallbacks	seed_buckets_read	sequence_blocks_read	seed_count_proxy	bucket_count_proxy	anchor_count_proxy	chain_count_proxy	sequence_count_proxy	alignment_count_proxy	output_bytes_proxy	thread_count_proxy
1.0.0	16384	16384	J01749.1__q2000	small	balanced	8	complete	0	0	3	18316856	1.1885890359990299	1.179386	64552	0.04224862800037954	0.019708	0.015257	25968	1	1	14	0	0	12	0	1269130	1269130	1202740	0	23264	3	78	0	0	0	0	7	1		14			2		6271	8
1.0.0	16384	16384	NC_001735.1__q50000	large	balanced	8	complete	0	0	3	18316856	1.1885890359990299	1.179386	64552	0.7719680390000576	0.641872	0.119735	215268	1	2	259	0	0	257	0	3365548	3365548	4780298	0	1153010	242	206	0	0	0	0	245	8		490			16		55072	8
1.0.0	16384	16384	repeat-rich-proxy	repeat-rich	balanced	8	complete	0	0	3	18316856	1.1885890359990299	1.179386	64552	0.024819865000608843	0.007781	0.009778	26180	1	1	12	0	0	10	0	6807	6807	7164	0	720	8	2	0	0	0	0	5	1		10			2		5986	8
1.0.0	16384	65536	J01749.1__q2000	small	balanced	8	complete	0	0	3	18316856	1.1885890359990299	1.179386	64552	0.04155520699714543	0.014808	0.019413	25972	1	1	14	0	0	12	0	1645962	1645962	1202740	0	53414	3	26	0	0	0	0	7	1		14			2		6271	8
1.0.0	16384	65536	NC_001735.1__q50000	large	balanced	8	complete	0	0	3	18316856	1.1885890359990299	1.179386	64552	0.8136129620033898	0.6720959999999999	0.11741	222828	1	2	259	0	0	257	0	3611308	3611308	4780298	0	1619750	250	56	0	0	0	0	245	8		490			16		55070	8
1.0.0	16384	65536	repeat-rich-proxy	repeat-rich	balanced	8	complete	0	0	3	18316856	1.1885890359990299	1.179386	64552	0.026406271004816517	0.008001	0.009889	26140	1	1	12	0	0	10	0	6807	6807	7164	0	720	8	2	0	0	0	0	5	1		10			2		5989	8
1.0.0	16384	262144	J01749.1__q2000	small	balanced	8	complete	0	0	3	18316856	1.1885890359990299	1.179386	64552	0.04436070800147718	0.023306999999999998	0.013266	25840	1	1	14	0	0	12	0	2859438	2859438	1202740	0	60390	4	12	0	0	0	0	7	1		14			2		6277	8
1.0.0	16384	262144	NC_001735.1__q50000	large	balanced	8	complete	0	0	3	18316856	1.1885890359990299	1.179386	64552	0.802874607994454	0.665064	0.119614	216300	1	2	259	0	0	257	0	4201132	4201132	4780298	0	1804866	251	17	0	0	0	0	245	8		490			16		55076	8
1.0.0	16384	262144	repeat-rich-proxy	repeat-rich	balanced	8	complete	0	0	3	18316856	1.1885890359990299	1.179386	64552	0.024307143001351506	0.0064329999999999995	0.010714999999999999	26184	1	1	12	0	0	10	0	6807	6807	7164	0	720	8	2	0	0	0	0	5	1		10			2		5992	8
1.0.0	16384	1048576	J01749.1__q2000	small	balanced	8	complete	0	0	3	18316856	1.1885890359990299	1.179386	64552	0.046510980995662976	0.017884	0.021897999999999997	27156	1	1	14	0	0	12	0	6005166	6005166	1202740	0	75110	6	7	0	0	0	0	7	1		14			2		6278	8
1.0.0	16384	1048576	NC_001735.1__q50000	large	balanced	8	complete	0	0	3	18316856	1.1885890359990299	1.179386	64552	0.7999305529956473	0.688897	0.10660499999999999	218728	1	2	259	0	0	257	0	6036140	6036140	4780298	0	1855554	254	7	0	0	0	0	245	8		490			16		55077	8
1.0.0	16384	1048576	repeat-rich-proxy	repeat-rich	balanced	8	complete	0	0	3	18316856	1.1885890359990299	1.179386	64552	0.025488749997748528	0.006738999999999999	0.011510999999999999	26164	1	1	12	0	0	10	0	6807	6807	7164	0	720	8	2	0	0	0	0	5	1		10			2		5995	8
1.0.0	65536	16384	J01749.1__q2000	small	balanced	8	complete	0	0	3	18292412	1.1949543569935486	1.183763	58172	0.043035293005232234	0.019459	0.015861999999999998	25940	1	1	14	0	0	12	0	1079615	1079615	1013225	0	23264	3	66	0	0	0	0	7	1		14			2		6274	8
1.0.0	65536	16384	NC_001735.1__q50000	large	balanced	8	complete	0	0	3	18292412	1.1949543569935486	1.183763	58172	0.7892417780021788	0.661172	0.121552	215952	1	2	253	0	0	251	0	3129275	3129275	4588637	0	1162146	232	192	0	0	0	0	245	2		490			4		55075	8
1.0.0	65536	16384	repeat-rich-proxy	repeat-rich	balanced	8	complete	0	0	3	18292412	1.1949543569935486	1.183763	58172	0.025166605002596043	0.009345	0.008546	43536	1	1	12	0	0	10	0	6807	6807	7164	0	720	8	2	0	0	0	0	5	1		10			2		5989	8
1.0.0	65536	65536	J01749.1__q2000	small	balanced	8	complete	0	0	3	18292412	1.1949543569935486	1.183763	58172	0.04585102300188737	0.023044	0.015704	47396	1	1	14	0	0	12	0	1390911	1390911	1013225	0	53414	3	22	0	0	0	0	7	1		14			2		6274	8
