schema_version	query_id	query_class	profile	threads	candidate_limit	cache_block_bytes	repeat	status	exit_code	wall_seconds	user_seconds	system_seconds	peak_rss_kib	candidate_count	alignment_count	output_bytes	archive_count	archive_size_bytes	archive_build_wall_seconds	archive_build_cpu_seconds	metadata_requests	head_requests	get_requests	range_requests	stream_requests	requested_bytes	returned_bytes	decoded_bytes	remote_bytes	cache_bytes	cache_hits	cache_misses	cache_evictions	stale_cache_rejections	retries	full_object_fallbacks	seed_buckets_read	sequence_blocks_read	seed_count_proxy	bucket_count_proxy	anchor_count_proxy	chain_count_proxy	sequence_count_proxy	alignment_count_proxy	output_bytes_proxy	thread_count_proxy
1.0.0	J01749.1__q2000	small	fast	1	1	16384	1	complete	0	0.024157079998985864	0.009347	0.004481	25804	1	0	5543	3	26032220			8	0	0	6	0	1251273	1251273	1243023	0	16224	2	77	0	0	0	0	2	0		4			0		5543	1
1.0.0	J01749.1__q2000	small	fast	1	1	65536	1	complete	0	0.024930829997174442	0.003656	0.010766999999999999	27488	1	0	5543	3	26032220			8	0	0	6	0	1365961	1365961	1243023	0	46374	2	21	0	0	0	0	2	0		4			0		5543	1
1.0.0	J01749.1__q2000	small	fast	1	1	262144	1	complete	0	0.026172819001658354	0.006529	0.008513	26272	1	0	5544	3	26032220			8	0	0	6	0	1955785	1955785	1243023	0	46374	2	8	0	0	0	0	2	0		4			0		5544	1
1.0.0	J01749.1__q2000	small	fast	1	1	1048576	1	complete	0	0.029336750994843896	0.008549	0.010723	30308	1	0	5547	3	26032220			8	0	0	6	0	4315081	4315081	1243023	0	46374	2	5	0	0	0	0	2	0		4			0		5547	1
1.0.0	J01749.1__q2000	small	fast	1	100	16384	1	complete	0	0.025063398999918718	0.0057079999999999995	0.00844	26256	1	0	5549	3	26032220			8	0	0	6	0	1251273	1251273	1243023	0	16224	2	77	0	0	0	0	2	0		4			0		5549	1
1.0.0	J01749.1__q2000	small	fast	1	100	65536	1	complete	0	0.02502861300308723	0.008244999999999999	0.006418	26112	1	0	5549	3	26032220			8	0	0	6	0	1365961	1365961	1243023	0	46374	2	21	0	0	0	0	2	0		4			0		5549	1
1.0.0	J01749.1__q2000	small	fast	1	100	262144	1	complete	0	0.024778414001048077	0.006169	0.008239999999999999	25892	1	0	5550	3	26032220			8	0	0	6	0	1955785	1955785	1243023	0	46374	2	8	0	0	0	0	2	0		4			0		5550	1
1.0.0	J01749.1__q2000	small	fast	1	100	1048576	1	complete	0	0.02884442800132092	0.005509	0.013044	28448	1	0	5553	3	26032220			8	0	0	6	0	4315081	4315081	1243023	0	46374	2	5	0	0	0	0	2	0		4			0		5553	1
1.0.0	J01749.1__q2000	small	fast	4	1	16384	1	complete	0	0.02489847999822814	0.008029999999999999	0.009131	49188	1	0	5543	3	26032220			8	0	0	6	0	1251273	1251273	1243023	0	16224	2	77	0	0	0	0	2	0		4			0		5543	4
1.0.0	J01749.1__q2000	small	fast	4	1	65536	1	complete	0	0.01612384900363395	0.005621	0.012267	50520	1	0	5543	3	26032220			8	0	0	6	0	1365961	1365961	1243023	0	46374	2	21	0	0	0	0	2	0		4			0		5543	4
1.0.0	J01749.1__q2000	small	fast	4	1	262144	1	complete	0	0.016375742001400795	0.006744	0.011566	49724	1	0	5544	3	26032220			8	0	0	6	0	1955785	1955785	1243023	0	46374	2	8	0	0	0	0	2	0		4			0		5544	4
1.0.0	J01749.1__q2000	small	fast	4	1	1048576	1	complete	0	0.028300908001256175	0.00583	0.01508	54508	1	0	5547	3	26032220			8	0	0	6	0	4315081	4315081	1243023	0	46374	2	5	0	0	0	0	2	0		4			0		5547	4
1.0.0	J01749.1__q2000	small	fast	4	100	16384	1	complete	0	0.026259461003064644	0.004275	0.013734999999999999	49964	1	0	5552	3	26032220			8	0	0	6	0	1251273	1251273	1243023	0	16224	2	77	0	0	0	0	2	0		4			0		5552	4
1.0.0	J01749.1__q2000	small	fast	4	100	65536	1	complete	0	0.017296256999543402	0.006182	0.011578999999999999	49988	1	0	5552	3	26032220			8	0	0	6	0	1365961	1365961	1243023	0	46374	2	21	0	0	0	0	2	0		4			0		5552	4
1.0.0	J01749.1__q2000	small	fast	4	100	262144	1	complete	0	0.017185008997330442	0.007082	0.010916	48752	1	0	5553	3	26032220			8	0	0	6	0	1955785	1955785	1243023	0	46374	2	8	0	0	0	0	2	0		4			0		5553	4
1.0.0	J01749.1__q2000	small	fast	4	100	1048576	1	complete	0	0.01968119799857959	0.011805	0.010001	54388	1	0	5556	3	26032220			8	0	0	6	0	4315081	4315081	1243023	0	46374	2	5	0	0	0	0	2	0		4			0		5556	4
1.0.0	J01749.1__q2000	small	fast	8	1	16384	1	complete	0	0.017457017995184287	0.008043	0.011533999999999999	68672	1	0	5546	3	26032220			8	0	0	6	0	1251273	1251273	1243023	0	16224	2	77	0	0	0	0	2	0		4			0		5546	8
1.0.0	J01749.1__q2000	small	fast	8	1	65536	1	complete	0	0.01728790099878097	0.007388	0.012407	65280	1	0	5546	3	26032220			8	0	0	6	0	1365961	1365961	1243023	0	46374	2	21	0	0	0	0	2	0		4			0		5546	8
1.0.0	J01749.1__q2000	small	fast	8	1	262144	1	complete	0	0.017305294000834692	0.005953	0.013727999999999999	66372	1	0	5547	3	26032220			8	0	0	6	0	1955785	1955785	1243023	0	46374	2	8	0	0	0	0	2	0		4			0		5547	8
1.0.0	J01749.1__q2000	small	fast	8	1	1048576	1	complete	0	0.019415589995332994	0.0074979999999999995	0.015047999999999999	74564	1	0	5550	3	26032220			8	0	0	6	0	4315081	4315081	1243023	0	46374	2	5	0	0	0	0	2	0		4			0		5550	8
1.0.0	J01749.1__q2000	small	fast	8	100	16384	1	complete	0	0.025491731998044997	0.005464999999999999	0.013635999999999999	66556	1	0	5552	3	26032220			8	0	0	6	0	1251273	1251273	1243023	0	16224	2	77	0	0	0	0	2	0		4			0		5552	8
1.0.0	J01749.1__q2000	small	fast	8	100	65536	1	complete	0	0.025878266998915933	0.008421999999999999	0.010995999999999999	64908	1	0	5552	3	26032220			8	0	0	6	0	1365961	1365961	1243023	0	46374	2	21	0	0	0	0	2	0		4			0		5552	8
1.0.0	J01749.1__q2000	small	fast	8	100	262144	1	complete	0	0.016698386003554333	0.004830999999999999	0.014903999999999999	66628	1	0	5553	3	26032220			8	0	0	6	0	1955785	1955785	1243023	0	46374	2	8	0	0	0	0	2	0		4			0		5553	8
1.0.0	J01749.1__q2000	small	fast	8	100	1048576	1	complete	0	0.027754363996791653	0.006157999999999999	0.015529	72548	1	0	5556	3	26032220			8	0	0	6	0	4315081	4315081	1243023	0	46374	2	5	0	0	0	0	2	0		4			0		5556	8
1.0.0	J01749.1__q2000	small	fast	16	1	16384	1	complete	0	0.01821674299571896	0.004913	0.018560999999999998	105380	1	0	5549	3	26032220			8	0	0	6	0	1251273	1251273	1243023	0	16224	2	77	0	0	0	0	2	0		4			0		5549	16
1.0.0	J01749.1__q2000	small	fast	16	1	65536	1	complete	0	0.01863478700397536	0.013444999999999999	0.011151999999999999	103336	1	0	5549	3	26032220			8	0	0	6	0	1365961	1365961	1243023	0	46374	2	21	0	0	0	0	2	0		4			0		5549	16
1.0.0	J01749.1__q2000	small	fast	16	1	262144	1	complete	0	0.02762876800261438	0.009039	0.014674999999999999	101600	1	0	5550	3	26032220			8	0	0	6	0	1955785	1955785	1243023	0	46374	2	8	0	0	0	0	2	0		4			0		5550	16
1.0.0	J01749.1__q2000	small	fast	16	1	1048576	1	complete	0	0.021611717995256186	0.008509	0.01757	104516	1	0	5553	3	26032220			8	0	0	6	0	4315081	4315081	1243023	0	46374	2	5	0	0	0	0	2	0		4			0		5553	16
1.0.0	J01749.1__q2000	small	fast	16	100	16384	1	complete	0	0.019159228999342304	0.006901999999999999	0.016517999999999998	103892	1	0	5555	3	26032220			8	0	0	6	0	1251273	1251273	1243023	0	16224	2	77	0	0	0	0	2	0		4			0		5555	16
1.0.0	J01749.1__q2000	small	fast	16	100	65536	1	complete	0	0.019397165000555106	0.009873999999999999	0.013751999999999999	101468	1	0	5555	3	26032220			8	0	0	6	0	1365961	1365961	1243023	0	46374	2	21	0	0	0	0	2	0		4			0		5555	16
1.0.0	J01749.1__q2000	small	fast	16	100	262144	1	complete	0	0.01898834900202928	0.007712999999999999	0.016138	101512	1	0	5556	3	26032220			8	0	0	6	0	1955785	1955785	1243023	0	46374	2	8	0	0	0	0	2	0		4			0		5556	16
1.0.0	J01749.1__q2000	small	fast	16	100	1048576	1	complete	0	0.022058574999391567	0.007175	0.02042	109012	1	0	5559	3	26032220			8	0	0	6	0	4315081	4315081	1243023	0	46374	2	5	0	0	0	0	2	0		4			0		5559	16
1.0.0	J01749.1__q2000	small	balanced	1	1	16384	1	complete	0	0.027263383999525104	0.017530999999999998	0.008638	33308	1	1	6268	3	26032220			14	0	0	12	0	1382345	1382345	1315955	0	23264	3	85	0	0	0	0	7	1		14			2		6268	1
1.0.0	J01749.1__q2000	small	balanced	1	1	65536	1	complete	0	0.02693681099481182	0.018085999999999998	0.007932	33632	1	1	6268	3	26032220			14	0	0	12	0	1693641	1693641	1315955	0	53414	3	26	0	0	0	0	7	1		14			2		6268	1
1.0.0	J01749.1__q2000	small	balanced	1	1	262144	1	complete	0	0.02789288300118642	0.017554	0.009457	34236	1	1	6271	3	26032220			14	0	0	12	0	3004361	3004361	1315955	0	61030	4	12	0	0	0	0	7	1		14			2		6271	1
1.0.0	J01749.1__q2000	small	balanced	1	1	1048576	1	complete	0	0.03167059599945787	0.018695	0.012364	40576	1	1	6272	3	26032220			14	0	0	12	0	6412233	6412233	1315955	0	75206	6	7	0	0	0	0	7	1		14			2		6272	1
