schema_version	case	configuration	tool	version	scope	status	selected_assemblies	assemblies_total	assemblies_with_records	base_precision	base_recall	interval_precision	interval_recall	gap_error_bases	search_wall_seconds	search_cpu_seconds	search_peak_rss_kib	index_wall_seconds	index_cpu_seconds	index_peak_rss_kib
1.0.0	pbr322	blastn	blastn	blastn: 2.17.0+	candidate	measured	9	9	9	0.557530043467144	1.0	0.3333333333333333	1.0	10383	3.21229586499976	3.0149929999999996	80968	NA	NA	NA
1.0.0	pbr322	jam	jam	jam 0.10.0	candidate	measured	9	9	9	0.5898025426021098	1.0	0.3333333333333333	1.0	9099	0.32864960200095084	0.32518499999999995	69996	NA	NA	NA
1.0.0	pbr322	lexicmap	lexicmap	LexicMap v0.9.0	candidate	measured	9	9	9	0.557530043467144	1.0	0.3333333333333333	1.0	10383	0.8493885360003333	0.8118829999999999	819144	68.62354934200266	67.679424	1139592
1.0.0	pbr322	minimap2	minimap2	2.31-r1302	candidate	measured	9	9	9	0.5752033413937129	1.0	0.3333333333333333	1.0	9662	5.340258928998082	5.2958300000000005	109676	NA	NA	NA
1.0.0	t7-candidate-scale20	blastn	blastn	blastn: 2.17.0+	candidate	measured	3	3	3	0.998004838267202	1.0	0.8333333333333334	1.0	160	1.3107168309943518	1.237958	80036	NA	NA	NA
1.0.0	t7-candidate-scale20	jam	jam	jam 0.10.0	candidate	measured	3	3	3	1.0	1.0	1.0	1.0	0	0.9764594709995436	0.9525859999999999	335372	NA	NA	NA
1.0.0	t7-candidate-scale20	lexicmap	lexicmap	LexicMap v0.9.0	candidate	measured	3	3	3	0.998004838267202	1.0	0.8333333333333334	1.0	160	0.6615870259993244	0.684755	1296616	23.742383808996237	23.548451	966848
1.0.0	t7-candidate-scale20	minimap2	minimap2	2.31-r1302	candidate	measured	3	3	2	1.0	0.9980008496389035	1.0	0.6666666666666666	160	2.1328982480044942	2.054259	102772	NA	NA	NA
1.0.0	t7-candidate-scale200	blastn	blastn	blastn: 2.17.0+	candidate	measured	2	2	2	1.0	1.0	1.0	1.0	0	0.8144996629998786	0.767536	80192	NA	NA	NA
1.0.0	t7-candidate-scale200	jam	jam	jam 0.10.0	candidate	measured	2	2	2	1.0	1.0	1.0	1.0	0	0.7150250720005715	0.700901	199716	NA	NA	NA
1.0.0	t7-candidate-scale200	lexicmap	lexicmap	LexicMap v0.9.0	candidate	measured	2	2	2	1.0	1.0	1.0	1.0	0	0.988508071997785	0.9970349999999999	808432	15.523464138997952	15.412382	934396
1.0.0	t7-candidate-scale200	minimap2	minimap2	2.31-r1302	candidate	measured	2	2	2	1.0	1.0	1.0	1.0	0	1.3071412720018998	1.2865980000000001	102680	NA	NA	NA
1.0.0	t7-direct	blastn	blastn	blastn: 2.17.0+	direct_full	measured	28	28	3	0.998004838267202	1.0	0.8333333333333334	1.0	160	9.79178798799694	9.319336999999999	80692	NA	NA	NA
1.0.0	t7-direct	lexicmap-l100	lexicmap	LexicMap v0.9.0	direct_full	measured	28	28	3	0.998004838267202	1.0	0.8333333333333334	1.0	160	0.6039718840038404	0.630042	1458916	195.45258343499881	193.766808	1283932
1.0.0	t7-direct	lexicmap-l160	lexicmap	LexicMap v0.9.0	direct_full	measured	28	28	3	0.998004838267202	1.0	0.8333333333333334	1.0	160	0.8177849760031677	0.839692	1126352	195.45258343499881	193.766808	1283932
1.0.0	t7-direct	lexicmap-l17	lexicmap	LexicMap v0.9.0	direct_full	measured	28	28	28	0.9805204351661276	1.0	0.07857142857142858	1.0	1590	0.5894294980025734	0.603359	1496000	195.45258343499881	193.766808	1283932
1.0.0	t7-direct	minimap2	minimap2	2.31-r1302	direct_full	measured	28	28	2	1.0	0.9980008496389035	1.0	0.6666666666666666	160	16.64096439399873	16.48391	101616	NA	NA	NA
