section	case	metric	value	unit	status	note
accession_spike	AP000342.1	truth_rows	3	rows	measured	truth classes: exact, near_known_accession, split_overlap; source: accession-spike-v1/source/truth.tsv
accession_spike	AP000342.1/threads=1;cache=process-cold	alignment_count	16	alignments	measured	accession-spike Jam screening measurement; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	cache_bytes	10790073	bytes	measured	resource metric; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	cache_hits	1447	requests	measured	resource metric; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	cache_misses	24	requests	measured	resource metric; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	candidate_count	3	candidates	measured	accession-spike Jam screening measurement; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	coverage_mean	0.865483678224	fraction	measured	accession-spike Jam screening measurement; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	decoded_bytes	25238525	bytes	measured	resource metric; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	exact_alignment_recovery	1	fraction	measured	reported recovery 1/1; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	exact_candidate_recovery	1	fraction	measured	reported recovery 1/1; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	gap_bases	38047	bases	measured	accession-spike Jam screening measurement; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	largest_gap	17670	bases	measured	accession-spike Jam screening measurement; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	metadata_requests	1462	requests	measured	resource metric; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	partial_alignment_recovery	NA	fraction	unavailable	reported recovery 0/0; denominator is zero; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	partial_candidate_recovery	NA	fraction	unavailable	reported recovery 0/0; denominator is zero; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	peak_rss_kib	419344	KiB	measured	accession-spike Jam screening measurement; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	range_requests	1456	requests	measured	resource metric; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	requested_bytes	22390624	bytes	measured	resource metric; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	returned_bytes	22390624	bytes	measured	resource metric; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	reverse_complement_alignment_recovery	NA	fraction	unavailable	reported recovery 0/0; denominator is zero; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	reverse_complement_candidate_recovery	NA	fraction	unavailable	reported recovery 0/0; denominator is zero; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	short_fragment_alignment_recovery	1	fraction	measured	reported recovery 1/1; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	short_fragment_candidate_recovery	1	fraction	measured	reported recovery 1/1; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	split_overlap_alignment_recovery	1	fraction	measured	reported recovery 1/1; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	split_overlap_candidate_recovery	1	fraction	measured	reported recovery 1/1; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
accession_spike	AP000342.1/threads=1;cache=process-cold	system_seconds	0.261025	seconds	measured	accession-spike Jam screening measurement; source: accession-spike-v1/AP000342.1/local_balanced_t1_cold.json
