case_id	query_accession	query_kind	topology	case_type	status	reason	source_sha256	background_group
J01749.1__forward	J01749.1	plasmid	circular	forward	materialized		536042a7485bdabdf49c4d21a306213a098d77d19bdba57a1c6adc76ce2b8372	chromosome-v1
J01749.1__reverse	J01749.1	plasmid	circular	reverse	materialized		536042a7485bdabdf49c4d21a306213a098d77d19bdba57a1c6adc76ce2b8372	chromosome-v1
J01749.1__origin_crossing	J01749.1	plasmid	circular	origin_crossing	materialized		536042a7485bdabdf49c4d21a306213a098d77d19bdba57a1c6adc76ce2b8372	chromosome-v1
J01749.1__terminal_repeat	J01749.1	plasmid	circular	terminal_repeat	unsupported	case requires declared source topology or coordinate annotation	536042a7485bdabdf49c4d21a306213a098d77d19bdba57a1c6adc76ce2b8372	chromosome-v1
J01749.1__shared_region	J01749.1	plasmid	circular	shared_region	unsupported	case requires declared source topology or coordinate annotation	536042a7485bdabdf49c4d21a306213a098d77d19bdba57a1c6adc76ce2b8372	chromosome-v1
M77789.2__forward	M77789.2	plasmid	circular	forward	materialized		7c1183b16368b1435452d99152d7c95aa04fc4a5412e563a5ef1d0fbf0cf873b	chromosome-v1
M77789.2__reverse	M77789.2	plasmid	circular	reverse	materialized		7c1183b16368b1435452d99152d7c95aa04fc4a5412e563a5ef1d0fbf0cf873b	chromosome-v1
M77789.2__origin_crossing	M77789.2	plasmid	circular	origin_crossing	materialized		7c1183b16368b1435452d99152d7c95aa04fc4a5412e563a5ef1d0fbf0cf873b	chromosome-v1
M77789.2__terminal_repeat	M77789.2	plasmid	circular	terminal_repeat	unsupported	case requires declared source topology or coordinate annotation	7c1183b16368b1435452d99152d7c95aa04fc4a5412e563a5ef1d0fbf0cf873b	chromosome-v1
M77789.2__shared_region	M77789.2	plasmid	circular	shared_region	unsupported	case requires declared source topology or coordinate annotation	7c1183b16368b1435452d99152d7c95aa04fc4a5412e563a5ef1d0fbf0cf873b	chromosome-v1
AP000342.1__forward	AP000342.1	plasmid	circular	forward	materialized		7c36f5821d8ba6e91910f0be47008647cf52e0d4211113500c8c5b68606ff2dd	chromosome-v1
AP000342.1__reverse	AP000342.1	plasmid	circular	reverse	materialized		7c36f5821d8ba6e91910f0be47008647cf52e0d4211113500c8c5b68606ff2dd	chromosome-v1
AP000342.1__origin_crossing	AP000342.1	plasmid	circular	origin_crossing	materialized		7c36f5821d8ba6e91910f0be47008647cf52e0d4211113500c8c5b68606ff2dd	chromosome-v1
AP000342.1__terminal_repeat	AP000342.1	plasmid	circular	terminal_repeat	unsupported	case requires declared source topology or coordinate annotation	7c36f5821d8ba6e91910f0be47008647cf52e0d4211113500c8c5b68606ff2dd	chromosome-v1
AP000342.1__shared_region	AP000342.1	plasmid	circular	shared_region	unsupported	case requires declared source topology or coordinate annotation	7c36f5821d8ba6e91910f0be47008647cf52e0d4211113500c8c5b68606ff2dd	chromosome-v1
KY749247.1__forward	KY749247.1	plasmid	circular	forward	materialized		db5a30b7bbcdd9b78ff5e888e6d778896fcb0f4487502b23b4e3d8ff7ebc3c27	chromosome-v1
KY749247.1__reverse	KY749247.1	plasmid	circular	reverse	materialized		db5a30b7bbcdd9b78ff5e888e6d778896fcb0f4487502b23b4e3d8ff7ebc3c27	chromosome-v1
KY749247.1__origin_crossing	KY749247.1	plasmid	circular	origin_crossing	materialized		db5a30b7bbcdd9b78ff5e888e6d778896fcb0f4487502b23b4e3d8ff7ebc3c27	chromosome-v1
KY749247.1__terminal_repeat	KY749247.1	plasmid	circular	terminal_repeat	unsupported	case requires declared source topology or coordinate annotation	db5a30b7bbcdd9b78ff5e888e6d778896fcb0f4487502b23b4e3d8ff7ebc3c27	chromosome-v1
KY749247.1__shared_region	KY749247.1	plasmid	circular	shared_region	unsupported	case requires declared source topology or coordinate annotation	db5a30b7bbcdd9b78ff5e888e6d778896fcb0f4487502b23b4e3d8ff7ebc3c27	chromosome-v1
NC_008272.1__forward	NC_008272.1	plasmid	circular	forward	materialized		92987388d2d472f208f58fc7d4ab3f32fe5cf9fa40f201dc60f42d3da06317df	chromosome-v1
NC_008272.1__reverse	NC_008272.1	plasmid	circular	reverse	materialized		92987388d2d472f208f58fc7d4ab3f32fe5cf9fa40f201dc60f42d3da06317df	chromosome-v1
NC_008272.1__origin_crossing	NC_008272.1	plasmid	circular	origin_crossing	materialized		92987388d2d472f208f58fc7d4ab3f32fe5cf9fa40f201dc60f42d3da06317df	chromosome-v1
NC_008272.1__terminal_repeat	NC_008272.1	plasmid	circular	terminal_repeat	unsupported	case requires declared source topology or coordinate annotation	92987388d2d472f208f58fc7d4ab3f32fe5cf9fa40f201dc60f42d3da06317df	chromosome-v1
NC_008272.1__shared_region	NC_008272.1	plasmid	circular	shared_region	unsupported	case requires declared source topology or coordinate annotation	92987388d2d472f208f58fc7d4ab3f32fe5cf9fa40f201dc60f42d3da06317df	chromosome-v1
AP001918.1__forward	AP001918.1	plasmid	circular	forward	materialized		e8f9cb8f87c56e14c9562a7de62d15197e4fb6f7bb5af0dd286bc87d766a41ed	chromosome-v1
AP001918.1__reverse	AP001918.1	plasmid	circular	reverse	materialized		e8f9cb8f87c56e14c9562a7de62d15197e4fb6f7bb5af0dd286bc87d766a41ed	chromosome-v1
AP001918.1__origin_crossing	AP001918.1	plasmid	circular	origin_crossing	materialized		e8f9cb8f87c56e14c9562a7de62d15197e4fb6f7bb5af0dd286bc87d766a41ed	chromosome-v1
AP001918.1__terminal_repeat	AP001918.1	plasmid	circular	terminal_repeat	unsupported	case requires declared source topology or coordinate annotation	e8f9cb8f87c56e14c9562a7de62d15197e4fb6f7bb5af0dd286bc87d766a41ed	chromosome-v1
AP001918.1__shared_region	AP001918.1	plasmid	circular	shared_region	unsupported	case requires declared source topology or coordinate annotation	e8f9cb8f87c56e14c9562a7de62d15197e4fb6f7bb5af0dd286bc87d766a41ed	chromosome-v1
NC_001735.1__forward	NC_001735.1	plasmid	circular	forward	materialized		997fe17322005c563a824ed176c80d5646d9eba3a8cd62aa41925faa5e8638a8	chromosome-v1
NC_001735.1__reverse	NC_001735.1	plasmid	circular	reverse	materialized		997fe17322005c563a824ed176c80d5646d9eba3a8cd62aa41925faa5e8638a8	chromosome-v1
NC_001735.1__origin_crossing	NC_001735.1	plasmid	circular	origin_crossing	materialized		997fe17322005c563a824ed176c80d5646d9eba3a8cd62aa41925faa5e8638a8	chromosome-v1
NC_001735.1__terminal_repeat	NC_001735.1	plasmid	circular	terminal_repeat	unsupported	case requires declared source topology or coordinate annotation	997fe17322005c563a824ed176c80d5646d9eba3a8cd62aa41925faa5e8638a8	chromosome-v1
NC_001735.1__shared_region	NC_001735.1	plasmid	circular	shared_region	unsupported	case requires declared source topology or coordinate annotation	997fe17322005c563a824ed176c80d5646d9eba3a8cd62aa41925faa5e8638a8	chromosome-v1
NC_001416.1__forward	NC_001416.1	phage	linear	forward	materialized		36432a40f602258d19ae7c8152ddbc30390b559f2859c01d7047c77b048c71b3	chromosome-v1
NC_001416.1__reverse	NC_001416.1	phage	linear	reverse	materialized		36432a40f602258d19ae7c8152ddbc30390b559f2859c01d7047c77b048c71b3	chromosome-v1
NC_001416.1__origin_crossing	NC_001416.1	phage	linear	origin_crossing	unsupported	case requires declared source topology or coordinate annotation	36432a40f602258d19ae7c8152ddbc30390b559f2859c01d7047c77b048c71b3	chromosome-v1
NC_001416.1__terminal_repeat	NC_001416.1	phage	linear	terminal_repeat	unsupported	case requires declared source topology or coordinate annotation	36432a40f602258d19ae7c8152ddbc30390b559f2859c01d7047c77b048c71b3	chromosome-v1
NC_001416.1__shared_region	NC_001416.1	phage	linear	shared_region	unsupported	case requires declared source topology or coordinate annotation	36432a40f602258d19ae7c8152ddbc30390b559f2859c01d7047c77b048c71b3	chromosome-v1
NC_000866.4__forward	NC_000866.4	phage	linear	forward	materialized		b5ffcfee85e6b40432104f4a0adfd34d64309982d7841346957ed85b395698a8	chromosome-v1
NC_000866.4__reverse	NC_000866.4	phage	linear	reverse	materialized		b5ffcfee85e6b40432104f4a0adfd34d64309982d7841346957ed85b395698a8	chromosome-v1
NC_000866.4__origin_crossing	NC_000866.4	phage	linear	origin_crossing	unsupported	case requires declared source topology or coordinate annotation	b5ffcfee85e6b40432104f4a0adfd34d64309982d7841346957ed85b395698a8	chromosome-v1
NC_000866.4__terminal_repeat	NC_000866.4	phage	linear	terminal_repeat	unsupported	case requires declared source topology or coordinate annotation	b5ffcfee85e6b40432104f4a0adfd34d64309982d7841346957ed85b395698a8	chromosome-v1
NC_000866.4__shared_region	NC_000866.4	phage	linear	shared_region	unsupported	case requires declared source topology or coordinate annotation	b5ffcfee85e6b40432104f4a0adfd34d64309982d7841346957ed85b395698a8	chromosome-v1
NC_001604.1__forward	NC_001604.1	phage	linear	forward	materialized		00ce104454ea06f9b47d6fba8e62499bfbff7e84bc17141665b96a80588a81fd	chromosome-v1
NC_001604.1__reverse	NC_001604.1	phage	linear	reverse	materialized		00ce104454ea06f9b47d6fba8e62499bfbff7e84bc17141665b96a80588a81fd	chromosome-v1
NC_001604.1__origin_crossing	NC_001604.1	phage	linear	origin_crossing	unsupported	case requires declared source topology or coordinate annotation	00ce104454ea06f9b47d6fba8e62499bfbff7e84bc17141665b96a80588a81fd	chromosome-v1
NC_001604.1__terminal_repeat	NC_001604.1	phage	linear	terminal_repeat	materialized		00ce104454ea06f9b47d6fba8e62499bfbff7e84bc17141665b96a80588a81fd	chromosome-v1
NC_001604.1__shared_region	NC_001604.1	phage	linear	shared_region	unsupported	case requires declared source topology or coordinate annotation	00ce104454ea06f9b47d6fba8e62499bfbff7e84bc17141665b96a80588a81fd	chromosome-v1
