accession	display_name	query_kind	topology	role	catalog	background_group	length	sequence_sha256	record_url	verification_status	terminal_repeat_start	terminal_repeat_end	shared_group	shared_region_start	shared_region_end	observed_length	observed_sha256	verified
J01749.1	pBR322	plasmid	circular	catalog exact plasmid	true	NA	4361	536042a7485bdabdf49c4d21a306213a098d77d19bdba57a1c6adc76ce2b8372	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=J01749.1&rettype=fasta&retmode=text	verified						4361	536042a7485bdabdf49c4d21a306213a098d77d19bdba57a1c6adc76ce2b8372	true
M77789.2	pUC19	plasmid	circular	near-known plasmid	false	NA	2686	7c1183b16368b1435452d99152d7c95aa04fc4a5412e563a5ef1d0fbf0cf873b	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=M77789.2&rettype=fasta&retmode=text	verified						2686	7c1183b16368b1435452d99152d7c95aa04fc4a5412e563a5ef1d0fbf0cf873b	true
AP000342.1	R100	plasmid	circular	catalog exact plasmid	true	NA	94281	7c36f5821d8ba6e91910f0be47008647cf52e0d4211113500c8c5b68606ff2dd	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=AP000342.1&rettype=fasta&retmode=text	verified						94281	7c36f5821d8ba6e91910f0be47008647cf52e0d4211113500c8c5b68606ff2dd	true
KY749247.1	R1	plasmid	circular	near-known plasmid	false	NA	97566	db5a30b7bbcdd9b78ff5e888e6d778896fcb0f4487502b23b4e3d8ff7ebc3c27	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=KY749247.1&rettype=fasta&retmode=text	verified						97566	db5a30b7bbcdd9b78ff5e888e6d778896fcb0f4487502b23b4e3d8ff7ebc3c27	true
NC_008272.1	pKJK5	plasmid	circular	catalog exact plasmid	true	NA	54383	92987388d2d472f208f58fc7d4ab3f32fe5cf9fa40f201dc60f42d3da06317df	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_008272.1&rettype=fasta&retmode=text	verified						54383	92987388d2d472f208f58fc7d4ab3f32fe5cf9fa40f201dc60f42d3da06317df	true
AP001918.1	F	plasmid	circular	catalog distractor plasmid	true	NA	99159	e8f9cb8f87c56e14c9562a7de62d15197e4fb6f7bb5af0dd286bc87d766a41ed	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=AP001918.1&rettype=fasta&retmode=text	verified						99159	e8f9cb8f87c56e14c9562a7de62d15197e4fb6f7bb5af0dd286bc87d766a41ed	true
NC_001735.1	R751	plasmid	circular	catalog distractor plasmid	true	NA	53339	997fe17322005c563a824ed176c80d5646d9eba3a8cd62aa41925faa5e8638a8	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_001735.1&rettype=fasta&retmode=text	verified						53339	997fe17322005c563a824ed176c80d5646d9eba3a8cd62aa41925faa5e8638a8	true
NC_001416.1	Escherichia phage lambda	phage	linear	public phage query	true	NA	48502	36432a40f602258d19ae7c8152ddbc30390b559f2859c01d7047c77b048c71b3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_001416.1&rettype=fasta&retmode=text	verified						48502	36432a40f602258d19ae7c8152ddbc30390b559f2859c01d7047c77b048c71b3	true
NC_000866.4	Enterobacteria phage T4	phage	linear	public phage query	true	NA	168903	b5ffcfee85e6b40432104f4a0adfd34d64309982d7841346957ed85b395698a8	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_000866.4&rettype=fasta&retmode=text	verified						168903	b5ffcfee85e6b40432104f4a0adfd34d64309982d7841346957ed85b395698a8	true
NC_001604.1	Enterobacteria phage T7	phage	linear	public phage query with documented 160 bp direct terminal repeat	true	NA	39937	00ce104454ea06f9b47d6fba8e62499bfbff7e84bc17141665b96a80588a81fd	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_001604.1&rettype=fasta&retmode=text	verified	0	160				39937	00ce104454ea06f9b47d6fba8e62499bfbff7e84bc17141665b96a80588a81fd	true
NC_000913.3	Escherichia coli K-12 MG1655	chromosome	linear	real chromosome background	false	chromosome-v1	4641652	e999dceccb76562d40e49a10d9e6d4cf1c05d184f4f80b92bb32d4a2420c11d0	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_000913.3&rettype=fasta&retmode=text	verified						4641652	e999dceccb76562d40e49a10d9e6d4cf1c05d184f4f80b92bb32d4a2420c11d0	true
NC_000964.3	Bacillus subtilis 168	chromosome	linear	real chromosome background	false	chromosome-v1	4215606	71572ae0b98f44a6382b29e194e56c1f7d87477be8f53915fb06816f886b17b7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_000964.3&rettype=fasta&retmode=text	verified						4215606	71572ae0b98f44a6382b29e194e56c1f7d87477be8f53915fb06816f886b17b7	true
NC_002516.2	Pseudomonas aeruginosa PAO1	chromosome	linear	real chromosome background	false	chromosome-v1	6264404	f969830bbe6aa58beccd852ae6e129a9489a92557ad082283f639b6e8539a340	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_002516.2&rettype=fasta&retmode=text	verified						6264404	f969830bbe6aa58beccd852ae6e129a9489a92557ad082283f639b6e8539a340	true
