case_id	query_accession	query_kind	topology	expected_reference	truth_class	construction	background_group	background_accessions_json	source_length	source_sha256	source_start	source_end	query_intervals_json	contig_id	contig_start	contig_end	orientation	origin_crossing	terminal_repeat	shared_group	coverage_bases	coverage_fraction	assembly_path	assembly_sha256
J01749.1__forward	J01749.1	plasmid	circular	J01749.1	controlled_forward	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	4361	536042a7485bdabdf49c4d21a306213a098d77d19bdba57a1c6adc76ce2b8372	0	4361	[[0,4361]]	J01749.1__forward	0	4361	forward	false	false	NA	4361	1.000000	assemblies/J01749.1__forward.fasta	0974853a577f90595e696d6ca46443b0c26a8d956d32a49c12d9ea4254ed5e48
J01749.1__reverse	J01749.1	plasmid	circular	J01749.1	controlled_reverse	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	4361	536042a7485bdabdf49c4d21a306213a098d77d19bdba57a1c6adc76ce2b8372	0	4361	[[0,4361]]	J01749.1__reverse	0	4361	reverse	false	false	NA	4361	1.000000	assemblies/J01749.1__reverse.fasta	2be9f022ca6198d74a770a3865164a7d99945b6f5494946839e03a29cfdf7ebc
J01749.1__origin_crossing	J01749.1	plasmid	circular	J01749.1	controlled_origin_crossing	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	4361	536042a7485bdabdf49c4d21a306213a098d77d19bdba57a1c6adc76ce2b8372	multiple	multiple	[[1453,4361],[0,1453]]	J01749.1__origin	0	4361	forward	true	false	NA	4361	1.000000	assemblies/J01749.1__origin_crossing.fasta	a1dabd86c36700eea4670ee13569a1265aca35bbed071edf20470ccc6cd72919
M77789.2__forward	M77789.2	plasmid	circular	M77789.2	controlled_forward	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	2686	7c1183b16368b1435452d99152d7c95aa04fc4a5412e563a5ef1d0fbf0cf873b	0	2686	[[0,2686]]	M77789.2__forward	0	2686	forward	false	false	NA	2686	1.000000	assemblies/M77789.2__forward.fasta	9776260a246e00cfc934b2118fad721cdc1229e85c52ec8d4310db6bb368faed
M77789.2__reverse	M77789.2	plasmid	circular	M77789.2	controlled_reverse	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	2686	7c1183b16368b1435452d99152d7c95aa04fc4a5412e563a5ef1d0fbf0cf873b	0	2686	[[0,2686]]	M77789.2__reverse	0	2686	reverse	false	false	NA	2686	1.000000	assemblies/M77789.2__reverse.fasta	81f77f69e85284be168cbdbfd5afb3bf33fbc3816f917bcac902b06478297c24
M77789.2__origin_crossing	M77789.2	plasmid	circular	M77789.2	controlled_origin_crossing	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	2686	7c1183b16368b1435452d99152d7c95aa04fc4a5412e563a5ef1d0fbf0cf873b	multiple	multiple	[[895,2686],[0,895]]	M77789.2__origin	0	2686	forward	true	false	NA	2686	1.000000	assemblies/M77789.2__origin_crossing.fasta	dac465d88c9f9688f24af7fc60fbeed280eca4e2e65beff6d81fd3fc9724cb32
AP000342.1__forward	AP000342.1	plasmid	circular	AP000342.1	controlled_forward	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	94281	7c36f5821d8ba6e91910f0be47008647cf52e0d4211113500c8c5b68606ff2dd	0	94281	[[0,94281]]	AP000342.1__forward	0	94281	forward	false	false	NA	94281	1.000000	assemblies/AP000342.1__forward.fasta	4238907f6f82ed63d44116619d436246be6e90df47c8c3e0d48907afc9c51dc1
AP000342.1__reverse	AP000342.1	plasmid	circular	AP000342.1	controlled_reverse	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	94281	7c36f5821d8ba6e91910f0be47008647cf52e0d4211113500c8c5b68606ff2dd	0	94281	[[0,94281]]	AP000342.1__reverse	0	94281	reverse	false	false	NA	94281	1.000000	assemblies/AP000342.1__reverse.fasta	cd6c99329c5dabf4ef70fcacdc8db6d9b60817968d88decb78416fee2b3dea00
AP000342.1__origin_crossing	AP000342.1	plasmid	circular	AP000342.1	controlled_origin_crossing	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	94281	7c36f5821d8ba6e91910f0be47008647cf52e0d4211113500c8c5b68606ff2dd	multiple	multiple	[[31427,94281],[0,31427]]	AP000342.1__origin	0	94281	forward	true	false	NA	94281	1.000000	assemblies/AP000342.1__origin_crossing.fasta	50047241b823e72670d66084791ae132bc4c9c722e9719d316172ad5fced7d88
KY749247.1__forward	KY749247.1	plasmid	circular	KY749247.1	controlled_forward	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	97566	db5a30b7bbcdd9b78ff5e888e6d778896fcb0f4487502b23b4e3d8ff7ebc3c27	0	97566	[[0,97566]]	KY749247.1__forward	0	97566	forward	false	false	NA	97566	1.000000	assemblies/KY749247.1__forward.fasta	ef0476801f0a06867e8f84c5197e9b07ad2fe968f1f8d7319d37e015585f6df9
KY749247.1__reverse	KY749247.1	plasmid	circular	KY749247.1	controlled_reverse	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	97566	db5a30b7bbcdd9b78ff5e888e6d778896fcb0f4487502b23b4e3d8ff7ebc3c27	0	97566	[[0,97566]]	KY749247.1__reverse	0	97566	reverse	false	false	NA	97566	1.000000	assemblies/KY749247.1__reverse.fasta	055253d37b40a1ec3e79f07dd2b0eb7013b5308989d01f10d01142c45dfc0c0f
KY749247.1__origin_crossing	KY749247.1	plasmid	circular	KY749247.1	controlled_origin_crossing	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	97566	db5a30b7bbcdd9b78ff5e888e6d778896fcb0f4487502b23b4e3d8ff7ebc3c27	multiple	multiple	[[32522,97566],[0,32522]]	KY749247.1__origin	0	97566	forward	true	false	NA	97566	1.000000	assemblies/KY749247.1__origin_crossing.fasta	7af320a2bfa0181b38746ced6b036f667e2ba3c55de84afa060ba25d2f312d3c
NC_008272.1__forward	NC_008272.1	plasmid	circular	NC_008272.1	controlled_forward	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	54383	92987388d2d472f208f58fc7d4ab3f32fe5cf9fa40f201dc60f42d3da06317df	0	54383	[[0,54383]]	NC_008272.1__forward	0	54383	forward	false	false	NA	54383	1.000000	assemblies/NC_008272.1__forward.fasta	cacc42726dfbad0cc53fe783f7e91fee38c8cc87b3578aa159ad41e255703c3d
NC_008272.1__reverse	NC_008272.1	plasmid	circular	NC_008272.1	controlled_reverse	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	54383	92987388d2d472f208f58fc7d4ab3f32fe5cf9fa40f201dc60f42d3da06317df	0	54383	[[0,54383]]	NC_008272.1__reverse	0	54383	reverse	false	false	NA	54383	1.000000	assemblies/NC_008272.1__reverse.fasta	9ddba33f58f173292b5441af4d784f10a206921dd1c2d034ca1718d15a94b246
NC_008272.1__origin_crossing	NC_008272.1	plasmid	circular	NC_008272.1	controlled_origin_crossing	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	54383	92987388d2d472f208f58fc7d4ab3f32fe5cf9fa40f201dc60f42d3da06317df	multiple	multiple	[[18127,54383],[0,18127]]	NC_008272.1__origin	0	54383	forward	true	false	NA	54383	1.000000	assemblies/NC_008272.1__origin_crossing.fasta	327f6de92cbc85defee328e0cc8545fa3753c3112cd672e1643d39550060b505
AP001918.1__forward	AP001918.1	plasmid	circular	AP001918.1	controlled_forward	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	99159	e8f9cb8f87c56e14c9562a7de62d15197e4fb6f7bb5af0dd286bc87d766a41ed	0	99159	[[0,99159]]	AP001918.1__forward	0	99159	forward	false	false	NA	99159	1.000000	assemblies/AP001918.1__forward.fasta	5a531c65d595af1e21b052436eb92c4d40f0a9a84a269fa7f8b45a9b85f05456
AP001918.1__reverse	AP001918.1	plasmid	circular	AP001918.1	controlled_reverse	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	99159	e8f9cb8f87c56e14c9562a7de62d15197e4fb6f7bb5af0dd286bc87d766a41ed	0	99159	[[0,99159]]	AP001918.1__reverse	0	99159	reverse	false	false	NA	99159	1.000000	assemblies/AP001918.1__reverse.fasta	47dceac6cc2fb8f28be52d971e50e4457d5c784f57313549dae1ecfa1c2c61f4
AP001918.1__origin_crossing	AP001918.1	plasmid	circular	AP001918.1	controlled_origin_crossing	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	99159	e8f9cb8f87c56e14c9562a7de62d15197e4fb6f7bb5af0dd286bc87d766a41ed	multiple	multiple	[[33053,99159],[0,33053]]	AP001918.1__origin	0	99159	forward	true	false	NA	99159	1.000000	assemblies/AP001918.1__origin_crossing.fasta	d42f76e5affee7167002f8c6f4607f8021d39bcf9a666824219c8b81db3c89f1
NC_001735.1__forward	NC_001735.1	plasmid	circular	NC_001735.1	controlled_forward	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	53339	997fe17322005c563a824ed176c80d5646d9eba3a8cd62aa41925faa5e8638a8	0	53339	[[0,53339]]	NC_001735.1__forward	0	53339	forward	false	false	NA	53339	1.000000	assemblies/NC_001735.1__forward.fasta	d91a63d6ee8aa307a06ad2a178ac87ec18978be2273bc4ee14822170e4f13e2d
NC_001735.1__reverse	NC_001735.1	plasmid	circular	NC_001735.1	controlled_reverse	declared source sequence transformation; not a biological presence call	chromosome-v1	"[""NC_000913.3"",""NC_000964.3"",""NC_002516.2""]"	53339	997fe17322005c563a824ed176c80d5646d9eba3a8cd62aa41925faa5e8638a8	0	53339	[[0,53339]]	NC_001735.1__reverse	0	53339	reverse	false	false	NA	53339	1.000000	assemblies/NC_001735.1__reverse.fasta	a960f4ff2d50ea0c6543b084ec9f8fd4f87d6f96846947bdbf028d8576e81f99
