dataset	spike_accession	expected_reference	truth_class	construction	source_length	source_query_sha256	source_start	source_end	orientation	coverage_bases	coverage_percent	overlap_bases	coordinates_json	injected_contigs	injected_bases
exact_full	J01749.1	J01749.1	exact	complete accession	4361	536042a7485bdabdf49c4d21a306213a098d77d19bdba57a1c6adc76ce2b8372	0	4361	forward	4361	100.000000	0	"[{""contig_end"":4361,""contig_id"":""spike_pBR322"",""contig_start"":0,""orientation"":""forward"",""source_end"":4361,""source_positions_sha256"":""72e663f7542b716de50c211cd741040990b476ac79ea5070b642af1e5adc1441"",""source_start"":0}]"	1	4361
exact_full	AP000342.1	AP000342.1	exact	complete accession	94281	7c36f5821d8ba6e91910f0be47008647cf52e0d4211113500c8c5b68606ff2dd	0	94281	forward	94281	100.000000	0	"[{""contig_end"":94281,""contig_id"":""spike_R100"",""contig_start"":0,""orientation"":""forward"",""source_end"":94281,""source_positions_sha256"":""3e6612919adf0d62d261cbb4ccb785fce446cdc8a3649c69935589bbede220c1"",""source_start"":0}]"	1	94281
exact_full	NC_008272.1	NC_008272.1	exact	complete accession	54383	92987388d2d472f208f58fc7d4ab3f32fe5cf9fa40f201dc60f42d3da06317df	0	54383	forward	54383	100.000000	0	"[{""contig_end"":54383,""contig_id"":""spike_pKJK5"",""contig_start"":0,""orientation"":""forward"",""source_end"":54383,""source_positions_sha256"":""e84fb9b6f43cbd3986e0d7184399ca3e5d699d3bbf09041b59d914a3248c0574"",""source_start"":0}]"	1	54383
fragmented_trace	J01749.1	J01749.1	reverse_complement	complete reverse complement	4361	536042a7485bdabdf49c4d21a306213a098d77d19bdba57a1c6adc76ce2b8372	0	4361	reverse	4361	100.000000	0	"[{""contig_end"":4361,""contig_id"":""spike_pBR322_reverse"",""contig_start"":0,""orientation"":""reverse"",""source_end"":4361,""source_positions_sha256"":""239b45dbb5c7d4e7a3ee804c8f11ae33dfae56d2c78e670bd1ebd0247f638d25"",""source_start"":0}]"	1	4361
fragmented_trace	AP000342.1	AP000342.1	split_overlap	five fragments with 1000 bp boundary overlap	94281	7c36f5821d8ba6e91910f0be47008647cf52e0d4211113500c8c5b68606ff2dd	multiple	multiple	forward	94281	100.000000	4000	"[{""contig_end"":19856,""contig_id"":""spike_R100_split_1"",""contig_start"":0,""orientation"":""forward"",""source_end"":19856,""source_positions_sha256"":""3c0cc0883867a543a934b67d3d5f0f8cbdde2eff591487997e30b2a4f9eeaeb3"",""source_start"":0},{""contig_end"":20856,""contig_id"":""spike_R100_split_2"",""contig_start"":0,""orientation"":""forward"",""source_end"":38712,""source_positions_sha256"":""6d8543989580bdb857eb31ca75f873d0d1896fb1b825f259bb4ee4ce9fdb4c30"",""source_start"":17856},{""contig_end"":20856,""contig_id"":""spike_R100_split_3"",""contig_start"":0,""orientation"":""forward"",""source_end"":57568,""source_positions_sha256"":""efce91a7a8147557d01b1d9d68be2da75e22e4d72c90219aaeaf7479dac0211a"",""source_start"":36712},{""contig_end"":20856,""contig_id"":""spike_R100_split_4"",""contig_start"":0,""orientation"":""forward"",""source_end"":76424,""source_positions_sha256"":""489cdaa8da8bb3d03e575b79b74958d64685e02312260855b27334e756870ca4"",""source_start"":55568},{""contig_end"":19857,""contig_id"":""spike_R100_split_5"",""contig_start"":0,""orientation"":""forward"",""source_end"":94281,""source_positions_sha256"":""d21ecb64242899186f243856eae3ea14bb980cf4ad19a62f27a615268877c06e"",""source_start"":74424}]"	5	102281
fragmented_trace	NC_008272.1	NC_008272.1	partial	central 20 percent	54383	92987388d2d472f208f58fc7d4ab3f32fe5cf9fa40f201dc60f42d3da06317df	21753	32629	forward	10876	19.998897	0	"[{""contig_end"":10876,""contig_id"":""spike_pKJK5_partial"",""contig_start"":0,""orientation"":""forward"",""source_end"":32629,""source_positions_sha256"":""77c83133c18fefad99050ffdf7ba43981d4e50da9e653146c7694a884b930545"",""source_start"":21753}]"	1	10876
near_known	M77789.2	J01749.1	near_known_accession	complete pUC19 screened against catalog pBR322	2686	7c1183b16368b1435452d99152d7c95aa04fc4a5412e563a5ef1d0fbf0cf873b	0	2686	forward	2686	100.000000	0	"[{""contig_end"":2686,""contig_id"":""spike_pUC19"",""contig_start"":0,""orientation"":""forward"",""source_end"":2686,""source_positions_sha256"":""590a28425d01db768446b2cd96ba9f7d06d8ed0b015c1996ed5441f491476ca0"",""source_start"":0}]"	1	2686
near_known	KY749247.1	AP000342.1	near_known_accession	six R1 fragments with 1000 bp boundary overlap screened against R100	97566	db5a30b7bbcdd9b78ff5e888e6d778896fcb0f4487502b23b4e3d8ff7ebc3c27	multiple	multiple	forward	97566	100.000000	5000	"[{""contig_end"":17261,""contig_id"":""spike_R1_split_1"",""contig_start"":0,""orientation"":""forward"",""source_end"":17261,""source_positions_sha256"":""6b6e37a1c39a77d61a231822368a5c5b02f409ac41be62e33776ace4540419c2"",""source_start"":0},{""contig_end"":18261,""contig_id"":""spike_R1_split_2"",""contig_start"":0,""orientation"":""forward"",""source_end"":33522,""source_positions_sha256"":""c3b0553ec5001d9154b2aace1a286509ce68829577e6fe3ea788514ab3dc8b4b"",""source_start"":15261},{""contig_end"":18261,""contig_id"":""spike_R1_split_3"",""contig_start"":0,""orientation"":""forward"",""source_end"":49783,""source_positions_sha256"":""d0db6049b1243a66029f995fce82587e28e0dd8135042491f6a576a057fecf80"",""source_start"":31522},{""contig_end"":18261,""contig_id"":""spike_R1_split_4"",""contig_start"":0,""orientation"":""forward"",""source_end"":66044,""source_positions_sha256"":""4de90f1b7e5bcb69911c85a6411efcaa081c749eaa176e901f0a72eb9f2b679c"",""source_start"":47783},{""contig_end"":18261,""contig_id"":""spike_R1_split_5"",""contig_start"":0,""orientation"":""forward"",""source_end"":82305,""source_positions_sha256"":""8908a106a9369b430dabeb7a1c2d4c11a6cff04db849661e895dc8e4105b9805"",""source_start"":64044},{""contig_end"":17261,""contig_id"":""spike_R1_split_6"",""contig_start"":0,""orientation"":""forward"",""source_end"":97566,""source_positions_sha256"":""a3ebcab74b8ea4cc9b022f037c018e74ef8e2ff06e2cf154dda569b8f74bcf90"",""source_start"":80305}]"	6	107566
